nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:9090].  

  Press Ctrl+C to stop the server
  2026-08-13 09:46:16 /build/assets/popover-BuF8nwRB.js ............ ~ 4.27ms
  2026-08-13 09:46:16 /build/assets/tabs-Do1cApjO.js ............... ~ 4.42ms
  2026-08-13 09:46:16 /build/assets/RovingFocusItem-5Zmha37h.js .... ~ 4.57ms
  2026-08-13 09:46:16 /build/assets/usePostCompliance-68Q1YGW3.js .. ~ 4.67ms
  2026-08-13 09:46:16 /build/assets/checkbox-DxFqRFOj.js ........... ~ 4.75ms
  2026-08-13 09:46:16 /build/assets/combobox-CJ5TxGCA.js ........... ~ 4.90ms
  2026-08-13 09:46:16 /build/assets/InputError-DvuaAZHb.js ......... ~ 5.03ms
  2026-08-13 09:46:16 /build/assets/useMedia-CJ5hU_yH.js ........... ~ 5.15ms
  2026-08-13 09:46:16 /build/assets/date-BYsCFjU8.js ............... ~ 5.28ms
  2026-08-13 09:46:16 /build/assets/mediaType-B-hyaVWm.js .......... ~ 4.93ms
  2026-08-13 09:46:16 /build/assets/usePlatformLogo-ATeAMjjN.js .... ~ 3.41ms
  2026-08-13 09:46:16 /build/assets/content-type-DaWcjRm9.js ....... ~ 0.64ms
  2026-08-13 09:46:16 /build/assets/platform-CgfdAqyZ.js ........... ~ 0.61ms
  2026-08-13 09:46:16 /build/assets/post-CoVPaGrt.js ............... ~ 0.58ms
  2026-08-13 09:46:16 /build/assets/ConfirmDeleteModal-BxzxNQLh.js . ~ 0.61ms
  2026-08-13 09:46:16 /build/assets/ImagePreviewDialog-CGqWeuZi.js . ~ 0.61ms
  2026-08-13 09:46:16 /build/assets/GalleryBrowser-C1cRnUP4.js ..... ~ 0.57ms
  2026-08-13 09:46:16 /build/assets/EmptyState-tdqGiatA.js ......... ~ 0.54ms
  2026-08-13 09:46:16 /build/assets/debounce-DVFE89n3.js ........... ~ 0.51ms
  2026-08-13 09:46:16 /build/assets/LabelBadge-1y8SCKmW.js ......... ~ 0.60ms
  2026-08-13 09:46:16 /build/assets/PlatformPreview-D-q1qg7r.js .... ~ 0.64ms
  2026-08-13 09:46:16 /build/assets/_plugin-vue_export-helper-BDNMzG2s.js  ~ 0.63ms
  2026-08-13 09:46:16 /build/assets/PlatformPreview-C-pNuIQ-.css ... ~ 0.56ms
  2026-08-13 09:46:16 /build/assets/textarea-wv-JoI3T.js ........... ~ 0.48ms
  2026-08-13 09:46:16 /build/assets/httpError-B_QGHx3X.js .......... ~ 0.48ms
  2026-08-13 09:46:16 /build/assets/usePostEcho-CpbpiRzD.js ........ ~ 0.61ms
  2026-08-13 09:46:16 /images/accounts/facebook.png ................ ~ 0.16ms
  2026-08-13 09:46:16 /storage/social-accounts/01d3d468-3176-4f39-9ebb-8aec23a000af.jpg  ~ 0.39ms
  2026-08-13 09:46:16 /images/accounts/tiktok.png .................. ~ 0.45ms
  2026-08-13 09:46:16 /images/accounts/youtube.png ................. ~ 0.63ms
  2026-08-13 09:46:16 /notifications ............................... ~ 0.03ms
  2026-08-13 09:46:17 /presence/heartbeat .......................... ~ 0.04ms
  2026-08-13 09:46:17 /build/assets/php_vi-BOZuxoyi.js ............. ~ 0.28ms
